iter	Passed	Remaining
0	45	45244
1	87	43623
2	154	51464
3	213	53279
4	273	54383
5	357	59191
6	420	59682
7	479	59495
8	542	59774
9	628	62197
10	690	62041
11	731	60223
12	892	67758
13	968	68222
14	1019	66926
15	1073	65998
16	1143	66136
17	1206	65832
18	1256	64872
19	1309	64147
20	1347	62809
21	1392	61917
22	1434	60947
23	1474	59970
24	1512	58978
25	1549	58033
26	1598	57596
27	1638	56885
28	1678	56208
29	1719	55611
30	1763	55110
31	1806	54660
32	1853	54318
33	1891	53738
34	1930	53225
35	1998	53523
36	2068	53826
37	2157	54615
38	2253	55527
39	2341	56188
40	2417	56546
41	2487	56746
42	2535	56418
43	2577	55991
44	2617	55540
45	2655	55066
46	2700	54751
47	2763	54808
48	2814	54623
49	2865	54444
50	2913	54223
51	2966	54086
52	3006	53714
53	3062	53647
54	3112	53476
55	3175	53522
56	3219	53254
57	3257	52910
58	3295	52561
59	3331	52197
60	3377	51993
61	3437	52005
62	3490	51909
63	3555	52000
64	3639	52352
65	3693	52266
66	3743	52134
67	3793	51987
68	3838	51787
69	3889	51673
70	3914	51216
71	3962	51067
72	4002	50824
73	4046	50641
74	4101	50584
75	4165	50639
76	4219	50578
77	4265	50422
78	4305	50200
79	4348	50002
80	4411	50046
81	4464	49978
82	4516	49897
83	4565	49787
84	4602	49548
85	4658	49509
86	4703	49354
87	4745	49178
88	4781	48940
89	4819	48727
90	4863	48579
91	4913	48490
92	4958	48356
93	5006	48253
94	5053	48144
95	5107	48093
96	5152	47968
97	5195	47819
98	5231	47610
99	5266	47402
100	5303	47206
101	5347	47075
102	5384	46895
103	5418	46682
104	5455	46504
105	5492	46320
106	5538	46220
107	5575	46045
108	5609	45851
109	5644	45665
110	5689	45566
111	5731	45442
112	5777	45348
113	5815	45195
114	5850	45024
115	5885	44853
116	5921	44689
117	5957	44527
118	5997	44402
119	6043	44321
120	6080	44171
121	6117	44027
122	6158	43911
123	6211	43882
124	6271	43902
125	6325	43876
126	6380	43859
127	6438	43861
128	6502	43903
129	6552	43854
130	6597	43761
131	6637	43645
132	6673	43505
133	6713	43384
134	6758	43304
135	6798	43189
136	6839	43082
137	6876	42955
138	6912	42820
139	6951	42699
140	7001	42657
141	7042	42550
142	7083	42451
143	7122	42341
144	7162	42232
145	7205	42149
146	7261	42136
147	7300	42025
148	7341	41931
149	7382	41835
150	7420	41722
151	7458	41611
152	7521	41636
153	7589	41693
154	7662	41775
155	7735	41852
156	7801	41891
157	7859	41885
158	7917	41879
159	7970	41843
160	8017	41778
161	8055	41671
162	8104	41615
163	8149	41544
164	8196	41479
165	8240	41402
166	8278	41294
167	8316	41187
168	8354	41078
169	8392	40975
170	8437	40905
171	8474	40795
172	8512	40692
173	8550	40589
174	8585	40474
175	8620	40360
176	8663	40283
177	8699	40175
178	8738	40080
179	8775	39977
180	8809	39861
181	8846	39762
182	8888	39680
183	8928	39594
184	8974	39537
185	9027	39508
186	9076	39461
187	9133	39450
188	9173	39362
189	9208	39257
190	9246	39163
191	9281	39059
192	9316	38954
193	9358	38881
194	9396	38788
195	9431	38690
196	9471	38607
197	9509	38520
198	9550	38442
199	9596	38384
200	9634	38300
201	9671	38207
202	9707	38113
203	9746	38029
204	9784	37946
205	9830	37888
206	9869	37810
207	9904	37715
208	9945	37639
209	9986	37567
210	10021	37473
211	10062	37402
212	10102	37325
213	10144	37259
214	10194	37221
215	10250	37204
216	10321	37241
217	10381	37241
218	10424	37176
219	10482	37166
220	10547	37178
221	10593	37124
222	10633	37051
223	10670	36964
224	10708	36884
225	10742	36790
226	10784	36724
227	10821	36640
228	10855	36547
229	10893	36469
230	10929	36384
231	10965	36299
232	11007	36235
233	11042	36146
234	11077	36061
235	11112	35973
236	11147	35886
237	11182	35804
238	11221	35728
239	11263	35668
240	11300	35590
241	11334	35502
242	11371	35425
243	11404	35336
244	11441	35258
245	11485	35203
246	11521	35124
247	11564	35066
248	11599	34984
249	11634	34904
250	11675	34841
251	11730	34819
252	11777	34774
253	11821	34721
254	11860	34652
255	11898	34581
256	11936	34507
257	11980	34455
258	12016	34379
259	12051	34299
260	12087	34224
261	12126	34157
262	12163	34084
263	12198	34007
264	12251	33980
265	12288	33908
266	12325	33836
267	12361	33764
268	12404	33709
269	12448	33658
270	12502	33633
271	12546	33581
272	12583	33508
273	12638	33487
274	12687	33450
275	12742	33427
276	12780	33357
277	12813	33279
278	12849	33206
279	12896	33161
280	12945	33124
281	13005	33112
282	13046	33053
283	13088	32997
284	13123	32924
285	13160	32855
286	13199	32792
287	13242	32738
288	13277	32666
289	13312	32593
290	13348	32523
291	13385	32456
292	13420	32383
293	13465	32334
294	13506	32278
295	13540	32204
296	13579	32142
297	13614	32071
298	13650	32003
299	13695	31957
300	13732	31890
301	13770	31828
302	13807	31762
303	13842	31692
304	13879	31626
305	13925	31582
306	13961	31516
307	13996	31446
308	14030	31376
309	14065	31307
310	14109	31257
311	14165	31236
312	14213	31196
313	14260	31154
314	14309	31116
315	14358	31078
316	14413	31054
317	14450	30990
318	14483	30918
319	14516	30847
320	14551	30779
321	14586	30713
322	14623	30651
323	14663	30594
324	14699	30528
325	14734	30462
326	14767	30393
327	14801	30325
328	14842	30271
329	14876	30203
330	14913	30141
331	14949	30078
332	14987	30019
333	15021	29953
334	15072	29919
335	15107	29855
336	15142	29790
337	15174	29720
338	15210	29657
339	15243	29590
340	15277	29525
341	15319	29473
342	15352	29407
343	15385	29339
344	15425	29286
345	15472	29246
346	15521	29208
347	15575	29182
348	15623	29143
349	15665	29092
350	15700	29030
351	15735	28966
352	15772	28909
353	15815	28860
354	15852	28803
355	15889	28744
356	15927	28687
357	15961	28623
358	15999	28567
359	16039	28514
360	16079	28462
361	16115	28402
362	16152	28344
363	16187	28284
364	16221	28220
365	16273	28189
366	16307	28127
367	16342	28067
368	16378	28008
369	16416	27952
370	16453	27895
371	16549	27939
372	16584	27878
373	16618	27816
374	16658	27763
375	16704	27722
376	16749	27679
377	16801	27646
378	16848	27606
379	16891	27560
380	16927	27501
381	16959	27437
382	17002	27390
383	17040	27335
384	17074	27275
385	17113	27222
386	17149	27165
387	17185	27106
388	17228	27060
389	17264	27003
390	17297	26941
391	17330	26880
392	17365	26822
393	17403	26767
394	17438	26708
395	17480	26662
396	17515	26603
397	17549	26544
398	17584	26487
399	17618	26427
400	17654	26371
401	17687	26311
402	17729	26264
403	17764	26207
404	17802	26153
405	17839	26100
406	17875	26044
407	17922	26005
408	17974	25972
409	18020	25932
410	18063	25887
411	18109	25845
412	18146	25792
413	18181	25735
414	18224	25690
415	18263	25639
416	18300	25585
417	18334	25527
418	18369	25471
419	18410	25424
420	18449	25373
421	18485	25318
422	18519	25262
423	18554	25205
424	18588	25149
425	18635	25109
426	18669	25052
427	18703	24996
428	18738	24940
